OBJECTID,LifeCycleS,Shape.STLe,TRANSPORT_,TRANSPOR_1,TRAVEL_DIR,SPEED_LIMI,TOTAL_NUMB,DISASTER_R,TRUCK_ROUT,LEFT_LOCAL,RIGHT_LOCA,STRUCTURED,STRUCTUR_1,HIGHWAY_RO,HIGHWAY__1,SINGLE_HOU,FROM_LEFT_,TO_LEFT_HO,FROM_RIGHT,TO_RIGHT_H,ACCESS_RES,FROM_VEHIC,TO_VEHICLE,last_edite,AZIMUTH
228,ACT,96.841804726159879,293341,RLO,B,"50","2",N,N,Sidney,Sidney,2634,Hornby Pl,,,,2000,2038,2001,2039,N,,,2024/11/18 21:50:32.000,83.831
9082,ACT,166.474912606551555,307447,RLO,B,"50","2",N,N,Sooke,Sooke,10114,Horne Rd,,,,6651,6699,6650,6698,N,,,2024/11/18 21:50:32.000,249.737
9084,ACT,204.816522427234503,307449,RLO,B,"50","2",N,N,Sooke,Sooke,10114,Horne Rd,,,,6701,6769,6700,6768,N,,,2024/11/18 21:50:32.000,236.457
9514,ACT,372.869207016474149,308119,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,22974,Horton Bay Rd,,,,650,672,651,673,N,,,2024/11/18 21:50:32.000,170.512
15190,ACT,841.425019148312686,513661,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,22974,Horton Bay Rd,,,,674,738,675,729,N,,,2024/11/18 21:50:32.000,118.085
15191,ACT,67.085002554222214,513664,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,22974,Horton Bay Rd,,,,752,754,747,749,N,,,2024/11/18 21:50:32.000,159.013
19706,ACT,225.693193415941209,2401424,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,22974,Horton Bay Rd,,,,740,750,731,745,N,,,2024/11/18 21:50:32.000,129.735
24899,ACT,524.160385082863286,2652282,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,22974,Horton Bay Rd,,,,616,648,617,649,N,,,2024/11/18 21:50:32.000,147.752
24902,ACT,654.530798666984310,2652290,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,22974,Horton Bay Rd,,,,540,580,541,555,N,,,2024/11/18 21:50:32.000,138.447
24903,ACT,530.061607732339439,2652291,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,22974,Horton Bay Rd,,,,582,614,557,615,N,,,2024/11/18 21:50:32.000,118.588
12033,ACT,135.270127671014762,384881,RLO,B,"50","4",N,N,View Royal,View Royal,7235,Hospital Way,,,,0,2,,,R,,,2024/11/18 21:50:32.000,303.750
12434,ACT,80.495894814581817,400725,RLO,B,"50","4",N,N,Saanich,Saanich,7235,Hospital Way,,,,0,8,1,9,R,,,2024/11/18 21:50:32.000,327.217
12435,ACT,43.055629214772829,400726,RLO,B,"50","4",N,N,Saanich,Saanich,7235,Hospital Way,,,,,,,,R,,,2024/11/18 21:50:32.000,317.989
2164,ACT,132.553690264435886,296244,RLO,B,"30","2",N,N,Esquimalt,Esquimalt,10785,Hotham St,,,,856,878,855,879,N,,,2024/11/18 21:50:32.000,56.319
5085,ACT,80.807735491063184,300046,RLO,B,"30","2",N,N,Esquimalt,Esquimalt,10785,Hotham St,,,,880,898,881,899,N,,,2024/11/18 21:50:32.000,44.679
19080,ACT,65.095920657966772,2309448,RLO,B,"30","2",N,N,Esquimalt,Esquimalt,10785,Hotham St,,,,840,844,841,845,N,,,2024/11/18 21:50:32.000,346.504
19081,ACT,86.739061559753168,2309449,RLO,B,"30","2",N,N,Esquimalt,Esquimalt,10785,Hotham St,,,,846,854,847,853,N,,,2024/11/18 21:50:32.000,49.067
24666,ACT,942.154995152016568,2651772,RLO,B,"50","2",N,N,Saturna Island,Saturna Island,39709,Houghquie Wynd,,,,109,117,100,108,N,,,2024/11/18 21:50:32.000,271.705
24667,ACT,540.989414237966798,2651773,RLO,B,"50","2",N,N,Saturna Island,Saturna Island,39709,Houghquie Wynd,,,,121,129,118,120,N,,,2024/11/18 21:50:32.000,289.630
3092,ACT,363.470911098072293,297389,RLO,B,"50","2",N,N,Saanich,Saanich,22636,Houlihan Crt,,,,4401,4469,4400,4468,N,,,2024/11/18 21:50:32.000,52.978
3093,ACT,52.357248903243310,297390,RLO,B,"50","2",N,N,Saanich,Saanich,31022,Houlihan Pl,,,,4240,4248,4241,4249,N,,,2024/11/18 21:50:32.000,50.579
3096,ACT,83.128078117988636,297394,RLO,B,"50","2",N,N,Saanich,Saanich,31022,Houlihan Pl,,,,4250,4278,4251,4269,N,,,2024/11/18 21:50:32.000,109.187
3098,ACT,79.087895312675570,297396,RLO,B,"50","2",N,N,Saanich,Saanich,31022,Houlihan Pl,,,,4280,4286,4271,4283,N,,,2024/11/18 21:50:32.000,89.429
3099,ACT,303.293778965069748,297397,RLO,B,"50","2",N,N,Saanich,Saanich,31022,Houlihan Pl,,,,4288,4338,4285,4339,N,,,2024/11/18 21:50:32.000,75.250
863,ACT,193.328059640834340,294185,RLO,B,"50","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1750,1848,1751,1849,N,,,2024/11/18 21:50:32.000,89.382
1076,ACT,182.164758640797459,294505,RLO,B,"50","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1660,1748,1661,1749,N,,,2024/11/18 21:50:32.000,90.675
11837,ACT,257.853242863420405,380128,RLO,F,"50","1",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,,,1928,1850,N,,,2024/11/18 21:50:32.000,270.146
11838,ACT,6.687791750645352,380129,RLO,B,"50","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,90.695
11839,ACT,5.989823123431944,380132,RLO,B,"50","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,90.495
11840,ACT,258.429588195007852,380133,RLO,F,"50","1",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,,,1851,1929,N,,,2024/11/18 21:50:32.000,90.146
16529,ACT,11.697093609097944,1845257,RLO,B,"30","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1534,1536,1535,1537,N,,,2024/11/18 21:50:32.000,90.330
16530,ACT,58.379424012508821,1845258,RLO,B,"30","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1538,1556,1539,1557,N,,,2024/11/18 21:50:32.000,90.604
16531,ACT,112.280956645817724,1845259,RLO,B,"30","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1496,1532,1497,1533,N,,,2024/11/18 21:50:32.000,90.329
16532,ACT,418.794281940012581,1845260,RLO,B,"30","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1330,1464,1331,1465,N,,,2024/11/18 21:50:32.000,89.845
16533,ACT,90.091593218722025,1845261,RLO,B,"30","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1466,1494,1467,1495,N,,,2024/11/18 21:50:32.000,90.330
16536,ACT,207.276071516946217,1845266,RLO,B,"30","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1558,1624,1559,1625,N,,,2024/11/18 21:50:32.000,91.823
16537,ACT,103.861934015114514,1845267,RLO,B,"30","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1626,1658,1627,1659,N,,,2024/11/18 21:50:32.000,91.822
25358,ACT,397.330141197797388,2665094,RLO,B,"50","2",N,N,Central Saanich,Central Saanich,4866,Hovey Rd,,,,1930,2098,1931,2099,N,,,2024/11/18 21:50:32.000,90.461
9665,ACT,143.579152394166783,308647,RLO,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,13272,Howard Rd,,,,100,148,101,149,N,,,2024/11/18 21:50:32.000,113.705
2399,ACT,157.843088685599412,296542,RLO,B,"50","2",N,N,Victoria,Victoria,17131,Howard St,,,,2300,2398,2301,2399,N,,,2024/11/18 21:50:32.000,1.672
6470,ACT,139.490499686392013,302295,RLO,B,"50","2",N,N,North Saanich,North Saanich,11455,Howcrest Rd,,,,1450,1498,1451,1499,N,,,2024/11/18 21:50:32.000,110.581
5456,ACT,210.370736226358275,300707,RLO,B,"50","2",N,N,Victoria,Victoria,18948,Howe St,,,,100,198,101,199,N,,,2024/11/18 21:50:32.000,9.261
5457,ACT,107.200188665225781,300708,RLO,B,"50","2",N,N,Victoria,Victoria,18948,Howe St,,,,200,238,201,239,N,,,2024/11/18 21:50:32.000,9.506
5458,ACT,104.443825707267152,300709,RLO,B,"50","2",N,N,Victoria,Victoria,18948,Howe St,,,,240,298,241,299,N,,,2024/11/18 21:50:32.000,9.361
5880,ACT,357.400689175398782,301353,RLO,B,"50","2",N,N,Victoria,Victoria,18948,Howe St,,,,0,98,1,99,N,,,2024/11/18 21:50:32.000,9.822
9642,ACT,84.915635017645599,308611,RLO,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,14160,Howell Lane,,,,170,188,165,203,N,,,2024/11/18 21:50:32.000,131.516
10003,ACT,147.614316633443138,309145,RLO,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,14160,Howell Lane,,,,100,128,101,129,N,,,2024/11/18 21:50:32.000,67.172
10004,ACT,186.106387773175072,309146,RLO,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,14160,Howell Lane,,,,130,168,131,163,N,,,2024/11/18 21:50:32.000,132.622
3405,ACT,490.309819045585471,297762,RLO,B,"50","2",N,N,Saanich,Saanich,16836,Howroyd Ave,,,,1590,1798,1591,1799,N,,,2024/11/18 21:50:32.000,118.242
8156,ACT,43.078017971698742,305954,RLO,B,"30","2",N,N,Langford,Langford,27373,Hoylake Ave,,,,601,619,600,618,N,,,2024/11/18 21:50:32.000,2.388
10567,ACT,23.702491659106222,310482,RLO,B,"50","2",N,N,Langford,Langford,27373,Hoylake Ave,,,,,,,,N,,,2024/11/18 21:50:32.000,83.900
10568,ACT,185.638187531443037,310483,RLO,B,"50","2",N,N,Langford,Langford,27373,Hoylake Ave,,,,671,709,670,708,N,,,2024/11/18 21:50:32.000,238.423
23757,ACT,13.325834521334865,2640246,RLO,B,"30","2",N,N,Langford,Langford,27373,Hoylake Ave,,,,631,633,630,632,N,,,2024/11/18 21:50:32.000,1.875
23758,ACT,230.215472282498325,2640247,RLO,B,"30","2",N,N,Langford,Langford,27373,Hoylake Ave,,,,635,669,634,668,N,,,2024/11/18 21:50:32.000,303.410
23759,ACT,48.878634531357363,2640248,RLO,B,"30","2",N,N,Langford,Langford,27373,Hoylake Ave,,,,621,625,620,624,N,,,2024/11/18 21:50:32.000,2.035
23760,ACT,31.554325738319935,2640249,RLO,B,"30","2",N,N,Langford,Langford,27373,Hoylake Ave,,,,627,629,626,628,N,,,2024/11/18 21:50:32.000,2.036
8158,ACT,179.088529970487826,305956,RLO,F,"30","1",N,N,Langford,Langford,34984,Hoylake Cres,,,,2321,2337,2320,2338,R,,,2024/11/18 21:50:32.000,182.036
21248,ACT,140.335060563599399,2412039,RLO,B,"50","2",N,N,Central Saanich,Central Saanich,74934,Huckleberry Crt,,,,8031,8053,8030,8052,N,,,2024/11/18 21:50:32.000,327.704
1986,ACT,73.885759413976388,296008,RLO,B,"50","2",N,N,Victoria,Victoria,18508,Hudson St,,,,900,948,901,949,N,,,2024/11/18 21:50:32.000,0.073
23808,ACT,192.292065895925958,2641310,RLO,B,"50","2",N,N,Sooke,Sooke,94727,Hudson Terr,,,,2278,2314,2279,2323,N,,,2024/11/18 21:50:32.000,65.585
7151,ACT,104.975404250128108,304231,RLO,B,"50","2",N,N,Saanich,Saanich,15869,Hughes Rd,,,,4530,4578,4531,4579,N,,,2024/11/18 21:50:32.000,1.960
7153,ACT,104.898322363109045,304234,RLO,B,"50","2",N,N,Saanich,Saanich,15869,Hughes Rd,,,,4500,4528,,,N,,,2024/11/18 21:50:32.000,350.021
10892,ACT,23.043210800797706,331573,RLO,B,"50","2",N,N,Saanich,Saanich,15869,Hughes Rd,,,,4480,4498,,,N,,,2024/11/18 21:50:32.000,2.885
12090,ACT,137.973860017639851,386135,RLO,B,"50","2",N,N,Saanich,Saanich,15869,Hughes Rd,,,,4350,4368,,,N,,,2024/11/18 21:50:32.000,321.242
24341,ACT,19.780109496158005,2650122,RLO,B,"50","2",N,N,Saanich,Saanich,15869,Hughes Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,275.311
24342,ACT,113.291225099589639,2650123,RLO,B,"50","2",N,N,Saanich,Saanich,15869,Hughes Rd,,,,4440,4456,,,N,,,2024/11/18 21:50:32.000,356.073
24343,ACT,60.994625694978538,2650124,RLO,B,"50","2",N,N,Saanich,Saanich,15869,Hughes Rd,,,,4458,4478,,,N,,,2024/11/18 21:50:32.000,358.763
10805,ACT,43.952521941188053,331463,RLO,B,"50","2",N,N,Saanich,Saanich,14558,Hulford St,,,,1020,1028,1031,1047,N,,,2024/11/18 21:50:32.000,69.196
10806,ACT,188.323999680145107,331464,RLO,B,"50","2",N,N,Saanich,Saanich,14558,Hulford St,,,,1030,1098,1049,1099,N,,,2024/11/18 21:50:32.000,79.194
8545,ACT,43.374555224053545,306557,RLO,B,"50","2",N,N,Langford,Langford,5888,Hull Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,186.347
8548,ACT,193.472348093305868,306560,RLO,B,"50","2",N,N,Langford,Langford,5888,Hull Rd,,,,3001,3039,3000,3038,N,,,2024/11/18 21:50:32.000,200.006
8734,ACT,122.727891462861862,306892,RLO,B,"50","2",N,N,Oak Bay,Oak Bay,7567,Humber Rd,,,,3120,3198,3121,3199,N,,,2024/11/18 21:50:32.000,83.359
2321,ACT,61.162045384535659,296452,RLO,B,"40","2",N,N,Victoria,Victoria,22673,Humboldt St,,,,600,628,601,629,N,,,2024/11/18 21:50:32.000,114.191
2322,ACT,126.377816841801788,296453,RLO,B,"40","2",N,N,Victoria,Victoria,22673,Humboldt St,,,,630,698,631,699,N,,,2024/11/18 21:50:32.000,116.035
5959,ACT,270.391579370160855,301496,RLO,B,"50","2",N,N,Victoria,Victoria,22673,Humboldt St,,,,900,998,901,999,N,,,2024/11/18 21:50:32.000,133.827
5971,ACT,259.431532078841713,301517,RLO,B,"30","2",N,N,Victoria,Victoria,22673,Humboldt St,,,,800,898,801,899,N,,,2024/11/18 21:50:32.000,134.155
7300,ACT,96.851184976230414,304613,RLO,B,"40","2",N,N,Victoria,Victoria,22673,Humboldt St,,,,700,738,701,739,N,,,2024/11/18 21:50:32.000,144.228
7301,ACT,149.579349943491110,304614,RLO,B,"40","2",N,N,Victoria,Victoria,22673,Humboldt St,,,,740,798,741,799,N,,,2024/11/18 21:50:32.000,136.712
14321,ACT,19.168269765683078,512153,RLO,B,"50","2",N,N,North Saanich,North Saanich,31325,Hummingbird Pl,,,,11366,11368,11367,11369,N,,,2024/11/18 21:50:32.000,254.751
18926,ACT,195.244297743591602,2140577,RLO,B,"50","2",N,N,North Saanich,North Saanich,31325,Hummingbird Pl,,,,11340,11364,11317,11365,N,,,2024/11/18 21:50:32.000,350.894
9626,ACT,154.890896226876521,308588,RLO,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,31721,Humphreys Hill,,,,100,128,101,129,N,,,2024/11/18 21:50:32.000,139.008
1050,ACT,255.480595812691320,294458,RLO,B,"50","2",N,N,Saanich,Saanich,1420,Hunt Rd,,,,5900,5922,5901,5923,N,,,2024/11/18 21:50:32.000,64.788
1607,ACT,83.373071075685431,295295,RLO,B,"50","2",N,N,Saanich,Saanich,1420,Hunt Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,58.068
14406,ACT,383.664254890820018,512280,RLO,B,"50","2",N,N,Saanich,Saanich,1420,Hunt Rd,,,,5924,5958,5925,5959,N,,,2024/11/18 21:50:32.000,14.012
17406,ACT,172.803697273090791,1909731,RLO,B,"50","2",N,N,Saanich,Saanich,1420,Hunt Rd,,,,5984,5998,5985,5999,N,,,2024/11/18 21:50:32.000,0.320
24457,ACT,240.108954816392156,2650289,RLO,B,"50","2",N,N,Saanich,Saanich,1420,Hunt Rd,,,,5960,5982,5961,5983,N,,,2024/11/18 21:50:32.000,0.320
24458,ACT,132.535870839415708,2650290,RLO,B,"50","2",N,N,Saanich,Saanich,1420,Hunt Rd,,,,6134,6198,6135,6199,N,,,2024/11/18 21:50:32.000,0.357
24459,ACT,265.332142248671289,2650291,RLO,B,"50","2",N,N,Saanich,Saanich,1420,Hunt Rd,,,,6000,6132,6001,6133,N,,,2024/11/18 21:50:32.000,0.357
14289,ACT,612.137856105950050,463021,RLO,B,"50","2",N,N,Galiano Island,Galiano Island,60963,Hunterston Farm Rd,,,,1,5,2,4,N,,,2024/11/18 21:50:32.000,253.945
14290,ACT,379.004855678499837,463022,RLO,B,"50","2",N,N,Galiano Island,Galiano Island,60963,Hunterston Farm Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,128.228
14291,ACT,55.733399541190266,463023,RLO,B,"50","2",N,N,Galiano Island,Galiano Island,60963,Hunterston Farm Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,262.830
5401,ACT,106.982751180645934,300633,RLO,F,"50","1",N,N,Victoria,Victoria,28983,Huntington Pl,,,,399,301,398,300,N,,,2024/11/18 21:50:32.000,200.879
25235,ACT,197.283965814296806,2661243,RLO,B,"50","2",N,N,Victoria,Victoria,13210,Huron St,,,,10,40,11,39,N,,,2024/11/18 21:50:32.000,126.834
590,ACT,63.553015158684651,293826,RLO,B,"50","2",N,N,North Saanich,North Saanich,29202,Hurricane Rd,,,,9570,9580,9571,9581,N,,,2024/11/18 21:50:32.000,15.548
14355,ACT,102.209024929308470,512203,RLO,B,"50","2",N,N,North Saanich,North Saanich,29202,Hurricane Rd,,,,9582,9598,9583,9599,N,,,2024/11/18 21:50:32.000,15.548
25810,ACT,125.418058401613280,2692147,RLO,B,"50","2",N,N,North Saanich,North Saanich,29202,Hurricane Rd,,,,9500,9568,9501,9569,N,,,2024/11/18 21:50:32.000,15.877
4274,ACT,146.537912701286956,298907,RLO,B,"50","2",N,N,Saanich,Saanich,27472,Hurst Ave,,,,550,578,551,579,N,,,2024/11/18 21:50:32.000,80.058
6810,ACT,219.480861475698845,303234,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,2010,Hutchinson Ave,,,,770,834,771,835,N,,,2024/11/18 21:50:32.000,334.697
10526,ACT,45.582617921418247,310418,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,2010,Hutchinson Ave,,,,880,898,881,899,N,,,2024/11/18 21:50:32.000,352.314
14773,ACT,44.918077091745587,512795,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,2010,Hutchinson Ave,,,,836,848,837,849,N,,,2024/11/18 21:50:32.000,352.649
23059,ACT,58.915705306810779,2624274,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,2010,Hutchinson Ave,,,,850,878,851,879,N,,,2024/11/18 21:50:32.000,352.487
23060,ACT,3.108751976276011,2624275,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,2010,Hutchinson Ave,,,,,,,,N,,,2024/11/18 21:50:32.000,352.492
2129,ACT,48.306333908358909,296201,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,31570,Hutchinson Pl,,,,760,778,761,779,N,,,2024/11/18 21:50:32.000,325.370
4511,ACT,91.536757459066678,299220,RLO,B,"50","2",N,N,Saanich,Saanich,27652,Huxley St,,,,621,699,618,698,N,,,2024/11/18 21:50:32.000,228.567
4512,ACT,93.343795974504914,299221,RLO,B,"50","2",N,N,Saanich,Saanich,27652,Huxley St,,,,701,729,700,728,N,,,2024/11/18 21:50:32.000,229.459
4706,ACT,106.344397897963020,299489,RLO,B,"50","2",N,N,Saanich,Saanich,5526,Hyacinth Ave,,,,1047,1099,1050,1098,N,,,2024/11/18 21:50:32.000,293.728
17468,ACT,92.091703179136857,1909948,RLO,B,"50","2",N,N,Saanich,Saanich,5526,Hyacinth Ave,,,,871,889,870,898,N,,,2024/11/18 21:50:32.000,274.697
17469,ACT,51.209951713416110,1909949,RLO,B,"50","2",N,N,Saanich,Saanich,5526,Hyacinth Ave,,,,891,899,901,915,N,,,2024/11/18 21:50:32.000,212.846
20971,ACT,78.159727029809801,2406068,RLO,B,"5","2",N,N,Saanich,Saanich,5526,Hyacinth Ave,,,,701,799,700,798,N,,,2024/11/18 21:50:32.000,303.871
2862,ACT,219.823225930647652,297126,RLO,B,"50","2",N,N,Saanich,Saanich,19737,Hybury Pl,,,,1600,1658,1601,1659,N,,,2024/11/18 21:50:32.000,66.957
3231,ACT,104.182192087893682,297561,RLO,B,"50","2",N,N,Saanich,Saanich,31112,Ian St,,,,970,998,971,999,N,,,2024/11/18 21:50:32.000,79.712
23305,ACT,597.477774227364534,2627422,RLO,B,"50","2",N,N,Sooke,Sooke,12862,Idlemore Rd,,,,2000,2098,2001,2099,N,,,2024/11/18 21:50:32.000,18.603
4987,ACT,260.794842121584509,299907,RLO,B,"50","2",N,N,Saanich,Saanich,28806,Ilene Terr,,,,2880,2948,2881,2949,N,,,2024/11/18 21:50:32.000,339.293
4988,ACT,80.455387723756573,299908,RLO,B,"50","2",N,N,Saanich,Saanich,28806,Ilene Terr,,,,2850,2878,2851,2879,N,,,2024/11/18 21:50:32.000,277.772
8001,ACT,36.697046540695887,305702,RLO,B,"50","2",N,N,Colwood,Colwood,15933,Ilona Pl,,,,3191,3199,3190,3198,N,,,2024/11/18 21:50:32.000,221.081
7720,ACT,73.732654307014414,305307,RLO,B,"50","2",N,N,Colwood,Colwood,23481,Ilott Pl,,,,281,299,280,298,N,,,2024/11/18 21:50:32.000,306.855
8839,ACT,111.895010043713981,307093,RLO,B,"50","2",N,N,Metchosin,Metchosin,4390,Impala Rd,,,,1801,1827,1800,1826,N,,,2024/11/18 21:50:32.000,79.172
15075,ACT,737.682313129208978,513464,RLO,B,"50","2",N,N,Metchosin,Metchosin,4390,Impala Rd,,,,1829,1999,1828,2000,N,,,2024/11/18 21:50:32.000,7.739
3089,ACT,94.831483687750023,297385,RLO,B,"50","2",N,N,Saanich,Saanich,33400,Indigo Lane,,,,4300,4308,4301,4309,N,,,2024/11/18 21:50:32.000,22.712
22754,ACT,40.661420726039566,2616256,RLO,B,"50","2",N,N,Highlands,Highlands,17871,Industrial Way,,,,633,633,,,N,,,2024/11/18 21:50:32.000,270.228
4564,ACT,244.909376818306043,299283,RLO,B,"50","2",N,N,Saanich,Saanich,12492,Inez Dr,,,,2800,2898,2801,2899,N,,,2024/11/18 21:50:32.000,34.830
1635,ACT,51.268922556931152,295390,RLO,B,"50","2",N,N,Oak Bay,Oak Bay,12960,Inglewood Terr,,,,601,629,600,628,N,,,2024/11/18 21:50:32.000,171.185
24738,ACT,426.370217997634995,2651862,RLO,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,36607,Inglin Rd,,,,100,128,101,129,N,,,2024/11/18 21:50:32.000,210.407
6973,ACT,54.503702512313843,303549,RLO,B,"50","2",N,N,Saanich,Saanich,17159,Inlet Ave,,,,880,898,881,899,N,,,2024/11/18 21:50:32.000,319.620
6974,ACT,484.511564338571588,303550,RLO,B,"50","2",N,N,Saanich,Saanich,17159,Inlet Ave,,,,2800,2998,2801,2999,N,,,2024/11/18 21:50:32.000,33.602
4905,ACT,110.168987571494881,299816,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,17590,Inskip St,,,,901,919,900,918,N,,,2024/11/18 21:50:32.000,289.599
4906,ACT,125.983800837219363,299817,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,17590,Inskip St,,,,921,969,920,968,N,,,2024/11/18 21:50:32.000,292.724
1177,ACT,470.309496001937816,294658,RLO,B,"50","2",N,N,Saanich,Saanich,17788,Interurban Rd,,,,5200,5342,5201,5343,N,,,2024/11/18 21:50:32.000,298.070
13991,ACT,268.158567280872091,453196,RLO,B,"50","2",N,N,Saanich,Saanich,17788,Interurban Rd,,,,5100,5118,,,N,,,2024/11/18 21:50:32.000,306.688
14423,ACT,139.979129795052245,512318,RLO,B,"50","2",N,N,Saanich,Saanich,17788,Interurban Rd,,,,5344,5458,5345,5459,N,,,2024/11/18 21:50:32.000,330.709
14424,ACT,41.726825873291631,512319,RLO,B,"50","2",N,N,Saanich,Saanich,17788,Interurban Rd,,,,5460,5488,5461,5489,N,,,2024/11/18 21:50:32.000,353.470
15421,ACT,17.971380037437303,525907,RLO,B,"50","2",N,N,Saanich,Saanich,17788,Interurban Rd,,,,5490,5498,5491,5499,N,,,2024/11/18 21:50:32.000,73.736
15865,ACT,1116.354120991756417,586101,RLO,B,"50","2",N,N,Saanich,Saanich,17788,Interurban Rd,,,,5120,5198,,,N,,,2024/11/18 21:50:32.000,319.607
2139,ACT,182.389104252748609,296214,RLO,B,"30","2",N,N,Esquimalt,Esquimalt,25282,Intervale Ave,,,,800,828,801,829,N,,,2024/11/18 21:50:32.000,350.878
23057,ACT,59.628641852198072,2624271,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,25282,Intervale Ave,,,,830,866,831,867,N,,,2024/11/18 21:50:32.000,351.181
23058,ACT,49.137235289950944,2624272,RLO,B,"50","2",N,N,Esquimalt,Esquimalt,25282,Intervale Ave,,,,868,898,869,899,N,,,2024/11/18 21:50:32.000,351.181
15168,ACT,141.004255101326635,513595,RLO,B,"50","2",N,N,Shirley,Shirley,17957,Invermuir Rd,,,,9229,9261,9230,9258,N,,,2024/11/18 21:50:32.000,270.377
17131,ACT,51.310887129680651,1887103,RLO,B,"50","2",N,N,Shirley,Shirley,17957,Invermuir Rd,,,,9377,9379,9376,9378,N,,,2024/11/18 21:50:32.000,235.634
17132,ACT,144.119377953154753,1887104,RLO,B,"50","2",N,N,Shirley,Shirley,17957,Invermuir Rd,,,,9381,9399,9380,9400,N,,,2024/11/18 21:50:32.000,244.960
17133,ACT,394.884043778705802,1887107,RLO,B,"50","2",N,N,Shirley,Shirley,17957,Invermuir Rd,,,,9263,9333,9260,9328,N,,,2024/11/18 21:50:32.000,270.377
17134,ACT,287.030289530052414,1887108,RLO,B,"50","2",N,N,Shirley,Shirley,17957,Invermuir Rd,,,,9335,9375,9330,9374,N,,,2024/11/18 21:50:32.000,265.509
17164,ACT,168.112941467157725,1887371,RLO,B,"50","2",N,N,Shirley,Shirley,17957,Invermuir Rd,,,,9201,9227,9200,9228,N,,,2024/11/18 21:50:32.000,270.377
1668,ACT,182.001754154678423,295454,RLO,B,"50","2",N,N,North Saanich,North Saanich,2153,Inverness Rd,,,,9450,9518,9453,9519,N,,,2024/11/18 21:50:32.000,1.232
3926,ACT,91.517883910488521,298426,RLO,B,"50","2",N,N,Saanich,Saanich,2153,Inverness Rd,,,,1034,1098,1031,1099,N,,,2024/11/18 21:50:32.000,103.264
4014,ACT,35.752904636826358,298549,RLO,B,"50","2",N,N,Saanich,Saanich,2153,Inverness Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,104.046
4015,ACT,149.989765782102637,298550,RLO,B,"50","2",N,N,Saanich,Saanich,2153,Inverness Rd,,,,1000,1032,1001,1029,N,,,2024/11/18 21:50:32.000,104.168
6272,ACT,183.112227945432409,301971,RLO,B,"50","2",N,N,North Saanich,North Saanich,2153,Inverness Rd,,,,9400,9448,9401,9451,N,,,2024/11/18 21:50:32.000,0.957
6842,ACT,406.666932192841671,303334,RLO,B,"50","2",N,N,North Saanich,North Saanich,2153,Inverness Rd,,,,9100,9324,9101,9249,N,,,2024/11/18 21:50:32.000,1.940
20962,ACT,125.892065558755533,2406057,RLO,B,"50","2",N,N,Saanich,Saanich,2153,Inverness Rd,,,,900,950,901,951,N,,,2024/11/18 21:50:32.000,104.788
20963,ACT,117.186285458196863,2406058,RLO,B,"50","2",N,N,Saanich,Saanich,2153,Inverness Rd,,,,952,998,953,999,N,,,2024/11/18 21:50:32.000,104.788
